"Cohort"	"Form.Name"	"Form.Type"	"Table.Name"	"Variable.Name"	"Variable.Description"	"Data.Type"	"Code"	"Code.Description"	"Specify"	"FixedUnit"	"Logline"	"LowerRange"	"UpperRange"
"1"	"Registry - All"	"Subject Enrollment"	"DB Admin"	"ENROLL"	"SUBID"	"Global Subject ID"	"Text"	NA	NA	NA	NA	"FALSE"	NA	NA
"2"	"Registry - All"	"Subject Enrollment"	"DB Admin"	"ENROLL"	"ENRLDATE"	"Enroll Date"	"DateTime"	NA	NA	NA	NA	"FALSE"	NA	NA
"3"	"Registry - All"	"Subject Enrollment"	"DB Admin"	"ENROLL"	"ENRLBY"	"Enrolled By"	"Text"	NA	NA	NA	NA	"FALSE"	NA	NA
"4"	"Registry - All"	"Subject Enrollment"	"DB Admin"	"ENROLL"	"LINENUM"	"Contacts Log Line Record"	"Text"	NA	NA	NA	NA	"FALSE"	NA	NA
"5"	"Registry - All"	"Subject Status"	"Common Form"	"STATUS"	"SUBJSTAT"	"Subject Status"	"RadioButton (Vertical)"	"1"	"Active (future follow-up expected at a CARRA Registry Site)"	"FALSE"	NA	"FALSE"	NA	NA
"6"	"Registry - All"	"Subject Status"	"Common Form"	"STATUS"	"SUBJSTAT"	"Subject Status"	"RadioButton (Vertical)"	"2"	"Inactive (future follow-up not expected at a CARRA Registry site, but subject still participating in Registry)"	"FALSE"	NA	"FALSE"	NA	NA
"7"	"Registry - All"	"Subject Status"	"Common Form"	"STATUS"	"SUBJSTAT"	"Subject Status"	"RadioButton (Vertical)"	"3"	"Discontinuation (alive but no longer participating in registry)"	"FALSE"	NA	"FALSE"	NA	NA
"8"	"Registry - All"	"Subject Status"	"Common Form"	"STATUS"	"SUBJSTAT"	"Subject Status"	"RadioButton (Vertical)"	"4"	"Deceased"	"FALSE"	NA	"FALSE"	NA	NA
"9"	"Registry - All"	"Subject Status"	"Common Form"	"STATUS"	"LSTCNTDT"	"Date of last subject contact:"	"DateTime"	NA	NA	NA	NA	"FALSE"	NA	NA
"10"	"Registry - All"	"Subject Status"	"Common Form"	"STATUS"	"RSNINACT"	"Reason subject inactive:"	"SearchList"	"1"	"Referred elsewhere for ongoing care: Specify name and location:"	"TRUE"	NA	"FALSE"	NA	NA
"11"	"Registry - All"	"Subject Status"	"Common Form"	"STATUS"	"RSNINACT"	"Reason subject inactive:"	"SearchList"	"2"	"Subject moved to a non-CARRA registry pediatric rheumatologist"	"FALSE"	NA	"FALSE"	NA	NA
"12"	"Registry - All"	"Subject Status"	"Common Form"	"STATUS"	"RSNINACT"	"Reason subject inactive:"	"SearchList"	"3"	"Transitioned to adult rheumatology"	"FALSE"	NA	"FALSE"	NA	NA
"13"	"Registry - All"	"Subject Status"	"Common Form"	"STATUS"	"RSNINACT"	"Reason subject inactive:"	"SearchList"	"4"	"Lost to follow-up"	"FALSE"	NA	"FALSE"	NA	NA
"14"	"Registry - All"	"Subject Status"	"Common Form"	"STATUS"	"RSNINACT"	"Reason subject inactive:"	"SearchList"	"5"	"Disease remission"	"FALSE"	NA	"FALSE"	NA	NA
"15"	"Registry - All"	"Subject Status"	"Common Form"	"STATUS"	"DISCONDT"	"Discontinuation Date"	"DateTime"	NA	NA	NA	NA	"FALSE"	NA	NA
"16"	"Registry - All"	"Subject Status"	"Common Form"	"STATUS"	"RSNDISCN"	"Reason for Discontinuation"	"RadioButton (Vertical)"	"1"	"Subject withdrew consent"	"FALSE"	NA	"FALSE"	NA	NA
"17"	"Registry - All"	"Subject Status"	"Common Form"	"STATUS"	"RSNDISCN"	"Reason for Discontinuation"	"RadioButton (Vertical)"	"2"	"Site decision"	"FALSE"	NA	"FALSE"	NA	NA
"18"	"Registry - All"	"Subject Status"	"Common Form"	"STATUS"	"RSNDISCN"	"Reason for Discontinuation"	"RadioButton (Vertical)"	"3"	"Other: specify:"	"TRUE"	NA	"FALSE"	NA	NA
"19"	"Registry - All"	"Subject Status"	"Common Form"	"STATUS"	"DEATHDTC"	"Date of Death"	"DateTime"	NA	NA	NA	NA	"FALSE"	NA	NA
"20"	"Registry - All"	"Subject Status"	"Common Form"	"STATUS"	"DTHCAUSE"	"Cause of death:"	"LongText"	NA	NA	NA	NA	"FALSE"	NA	NA
"21"	"Registry - All"	"Subject Status"	"Common Form"	"STATUS"	"DTHRELAT"	"Was death related to rheumatic disease?"	"RadioButton (Vertical)"	"0"	"No"	"FALSE"	NA	"FALSE"	NA	NA
"22"	"Registry - All"	"Subject Status"	"Common Form"	"STATUS"	"DTHRELAT"	"Was death related to rheumatic disease?"	"RadioButton (Vertical)"	"1"	"Yes"	"TRUE"	NA	"FALSE"	NA	NA
"23"	"Registry - All"	"Subject Status"	"Common Form"	"STATUS"	"DTHRELAT"	"Was death related to rheumatic disease?"	"RadioButton (Vertical)"	"99"	"Unknown"	"FALSE"	NA	"FALSE"	NA	NA
"24"	"Registry - All"	"Subject Status"	"Common Form"	"STATUS"	"SUBENRL"	"Sub Study Enroll"	"Text"	NA	NA	NA	NA	"TRUE"	NA	NA
"25"	"Registry - All"	"Subject Status"	"Common Form"	"STATUS"	"SENRLDTM"	"Sub Study Enroll Date"	"DateTime"	NA	NA	NA	NA	"TRUE"	NA	NA
"26"	"Registry - All"	"Subject Status"	"Common Form"	"STATUS"	"SENRLBY"	"Sub Study Enrolled By"	"Text"	NA	NA	NA	NA	"TRUE"	NA	NA
"27"	"Registry - All"	"Subject Status"	"Common Form"	"STATUS"	"SLINENUM"	"Contacts Log Line Record"	"Text"	NA	NA	NA	NA	"TRUE"	NA	NA
"28"	"STOP-JIA"	"Stop JIA Status"	"Common Form"	"STOP"	"STOPBDTC"	"Stop JIA Baseline Date"	"DateTime"	NA	NA	NA	NA	"FALSE"	NA	NA
"29"	"STOP-JIA"	"Stop JIA Status"	"Common Form"	"STOP"	"STOPSTS"	"Stop JIA Subject Status"	"RadioButton (Vertical)"	"0"	"Withdraw from Stop JIA (continue in CARRA Registry)"	"FALSE"	NA	"FALSE"	NA	NA
"30"	"STOP-JIA"	"Stop JIA Status"	"Common Form"	"STOP"	"STOPSTS"	"Stop JIA Subject Status"	"RadioButton (Vertical)"	"1"	"Active"	"FALSE"	NA	"FALSE"	NA	NA
"31"	"STOP-JIA"	"Stop JIA Status"	"Common Form"	"STOP"	"STOPSTS"	"Stop JIA Subject Status"	"RadioButton (Vertical)"	"2"	"Complete (will continue in CARRA Registry)"	"FALSE"	NA	"FALSE"	NA	NA
"32"	"STOP-JIA"	"Stop JIA Status"	"Common Form"	"STOP"	"STOPDTC"	"Date of Withdrawal"	"DateTime"	NA	NA	NA	NA	"FALSE"	NA	NA
"33"	"STOP-JIA"	"Stop JIA Status"	"Common Form"	"STOP"	"STOPWDR"	"Reason for withdrawal"	"LongText"	NA	NA	NA	NA	"FALSE"	NA	NA
"34"	"FROST"	"Frost Status"	"Common Form"	"FROST"	"FROSTBDT"	"Frost Baseline Date"	"DateTime"	NA	NA	NA	NA	"FALSE"	NA	NA
"35"	"FROST"	"Frost Status"	"Common Form"	"FROST"	"FROSTSTS"	"Frost Subject Status"	"RadioButton (Vertical)"	"0"	"Withdrawn from FROST (remains in main CARRA Registry)"	"FALSE"	NA	"FALSE"	NA	NA
